"","Year","Province","Hospitals","Other Institutions","Physicians","Other Professionals","Drugs","Capital","Public Health","Administration","Other Health Spending","Total"
"125","2013","Nova Scotia","1769.4116402359978","664.0161340599999","758.57770575000006","14.854078765000001","268.72589015436171","120.31095890410963","97.962957669002122","53.193431750000002","326.96658411249996","4074.0193814009708"
"126","2014","Nova Scotia","1834.2204258647291","693.21292070250001","793.3077775833334","16.668649092500001","266.57865664816671","43.781114590760708","95.124216354743425","51.029617999999999","355.58380024999997","4149.5071790867332"
"127","2015","Nova Scotia","1853.1788915026805","704.35683386749997","803.8168912525","18.232688119999999","274.50054498551674","67.380187650141863","88.592079051588271","57.188730935000002","384.77315619499996","4252.0200035599273"
"128","2016 f","Nova Scotia","1867.8786951891384","703.75727900749985","807.2115160699999","18.754961767499999","276.28330379278327","83.521819645615011","78.795308133361587","51.83869808","394.40639609999999","4282.4479777858978"
"129","2017 f","Nova Scotia","1882.3438101518445","707.47083783000005","823.23405346750008","18.170340325000002","283.6066143451568","71.660241425764468","81.316078823155507","51.995119395000003","408.9063492825","4328.7034450459214"
"130","1975","Quebec","1450.0364999999999","199.40875","475.93225000000001","29.830500000000001","43.630749999999999","111.37224999999999","108.34453255733754","93.450467442662443","19.2195","2531.2255"
"131","1976","Quebec","1684.02925","281.4205","538.34725000000003","38.279000000000003","50.975749999999998","101.97825","135.67687951203666","114.66387048796335","27.106000000000002","2972.4767500000003"
"132","1977","Quebec","1764.0645","363.1705","596.74300000000005","49.382249999999999","66.485500000000002","110.73475000000001","154.53221491370059","129.14903508629942","34.938749999999999","3269.2005000000004"
"133","1978","Quebec","2038.817","425.65174999999999","667.05325000000005","62.594999999999999","88.488249999999994","101.74225","124.88940055669646","106.15359944330353","46.4375","3661.8279999999991"
"134","1979","Quebec","2263.5","483.54599999999999","749.23725000000002","94.554500000000004","105.69799999999999","99.095500000000001","128.64791616437279","102.52383383562724","61.311500000000002","4088.1144999999997"
"135","1980","Quebec","2545.0590000000002","549.95399999999995","852.84199999999998","123.14975","125.95874999999999","78.947749999999999","144.00202775090369","109.24797224909632","78.668499999999995","4607.8297499999999"
"136","1981","Quebec","2923.95525","678.79","930.67174999999997","140.45425","147.30449999999999","72.926249999999996","156.14602939078503","121.077220609215","96.83175","5268.1570000000002"
"137","1982","Quebec","3513.3172500000001","809.90975000000003","964.69425000000001","125.70625","150.91300000000001","151.34049999999999","175.6650863544867","136.3984136455133","73.132999999999996","6101.0774999999994"
"138","1983","Quebec","3799.1415000000002","889.32225000000005","1099.9077500000001","128.32575","171.39574999999999","217.34424999999999","213.03382581657607","148.42592418342394","73.981499999999997","6740.8784999999998"
"139","1984","Quebec","3930.7285000000002","916.74099999999999","1191.42","143.102","199.73175000000001","244.184","270.53896010037516","179.14028989962483","89.904250000000005","7165.4907499999999"
"140","1985","Quebec","4064.3087500000001","954.48924999999997","1294.6590000000001","147.85974999999999","250.40725","205.59200000000001","328.74202429687756","207.87272570312246","123.25575000000001","7577.1864999999998"
"141","1986","Quebec","4335.1675797074695","721.45043577962804","1378.7854521631641","163.55796096503065","291.15211082891523","188.54424322889787","265.44804052414702","214.21753899145978","157.01202551319116","7715.3353877019044"
"142","1987","Quebec","4745.6268487295247","683.96049724541945","1476.7044328520647","170.02477191741798","333.79275518240945","187.89429488880444","257.98658479792931","224.34801659185416","177.5514333223812","8257.8896355278048"
"143","1988","Quebec","5094.4498012175254","739.58108213411094","1594.7516519281126","175.78198534593434","384.08280481757413","312.57000376364317","266.88697460562128","235.7322604473836","193.10138950156693","8996.9379537614714"
"144","1989","Quebec","5457.0080268700349","806.65153373274529","1706.8286958707683","180.97905113138532","437.12510625139322","302.67972901768906","275.87591644985366","250.3958451767221","214.05737755669693","9631.6012820572887"
"145","1990","Quebec","4632.3228499763782","1797.6055822203516","1780.7384755253179","174.38158056951141","502.68562586602172","294.09571697403084","385.08352935136128","301.91588090120587","448.16815503015044","10316.997396414328"
"146","1991","Quebec","4576.8239247457877","2231.3514970206115","1893.1212499999999","195.81447359426616","601.791155","451.40706812194202","422.75273661078472","303.55172012696659","684.30003527562781","11360.913860495986"
"147","1992","Quebec","4794.7181469045563","2316.7149198379907","1974.52575","177.13469614936835","646.90949999999998","415.48484380880689","408.61106621267203","314.20250865988339","673.04234181623531","11721.343773389515"
"148","1993","Quebec","4920.9280633683074","2359.6162842912831","2047.59725","161.15299544011896","682.88","414.45849454271735","367.3919372526525","328.26401874801235","578.27874125784331","11860.567784900935"
"149","1994","Quebec","4950.2310425042997","2360.1048242039024","2104.2635","157.41304026903242","741.12","507.06904347826088","371.46137410509056","324.81710542837351","539.08823335570014","12055.56816334466"
"150","1995","Quebec","5017.2534117242703","2361.5587216158474","2196.66122322514","151.8338658849479","807.87671930801969","490.03779183940651","366.5061566775139","253.32793831689426","526.23012666015393","12171.285955252193"
"151","1996","Quebec","4954.4764649333638","2303.6382080365443","2240.6251061064245","137.90792112488882","736.91219571118665","439.45970149253731","411.21272370020762","223.82611318190791","506.51854540460556","11954.576979691667"
"152","1997","Quebec","5216.7643308476381","2347.7145295442028","2219.1267648414128","135.01627058032076","701.2692839218123","422.14245676970938","401.86306640027567","228.34290598897357","493.68134609973254","12165.920954994077"
"153","1998","Quebec","5561.2056074176498","2489.3662942167903","2364.2669978831859","130.22561652004651","779.5409262206208","610.79999999999995","426.34470748251056","228.98523775272622","538.26487547674185","13129.000262970272"
"154","1999","Quebec","5618.3875530978703","2479.5741310688036","2485.9285212364171","132.76802408892985","921.963229723155","619.70000000000005","440.77060588966344","242.78588540697132","565.04734795514798","13506.925298466958"
"155","2000","Quebec","6007.0835932235159","2608.806000144773","2595.5038843539019","129.2838847873297","1136.3505451431197","686.1","479.33047601190123","246.23799625661138","599.49692015012124","14488.193300071274"
"156","2001","Quebec","6342.1281519722424","2748.7327078365738","2749.3196950989973","130.38132459454516","1314.9396927831431","702.6","628.94570185990301","258.64018083022751","645.00555299071152","15520.693007966343"
"157","2002","Quebec","6611.3059680177194","2859.1865820256435","2910.549975581449","162.4576508069508","1426.7270499278068","820.9","595.28621706651427","275.89164009281535","682.34481463446309","16344.649898153364"
"158","2003","Quebec","7014.5198232443599","2988.9391006047158","3077.2276834926261","145.70106383420836","1534.6074799655476","736.5","612.68575935321053","299.19074505766952","736.62041956966721","17145.992075122005"
"159","2004","Quebec","7395.1496943432685","3120.2205206307235","3284.950728348555","147.18965637152016","1674.5310005634774","874.8","632.84254337162815","291.80912788712959","785.26915050125399","18206.762422017557"
"160","2005","Quebec","7748.7159395667504","3204.1835287767735","3344.6023198688381","151.5379661497544","1796.9429296295186","1107.5","666.58238168293963","294.81257121092773","832.06511305566721","19146.942749941172"
"161","2006","Quebec","8395.9064835955542","3427.5218534277037","3462.8104602654153","152.5385151979641","1954.2801001703656","1271.7","706.64468184014527","298.21576780712564","857.24422265091641","20526.862084955192"
"162","2007","Quebec","9039.60180738495","3620.5869597987094","3690.2409289507373","164.39164489854102","2187.8227331030516","1223.4000000000001","755.7530433192253","307.62545827866927","914.68448818250067","21904.107063916385"
"163","2008","Quebec","9537.2714928500773","3792.2360658076159","4093.2831082978341","175.4898230756516","2303.5764783839231","1430.2","797.92276676522329","320.85230830039865","981.07344686064664","23431.905490341371"
"164","2009","Quebec","10111.444648882556","3964.8482896955979","4559.2035652658769","201.48528620515933","2378.7050409730246","1599.2","913.21995022644057","343.23737640130059","1089.2915585339047","25160.63571618386"
"165","2010","Quebec","10610.777746811114","4069.5654214824503","4946.0593869272889","209.60935816371978","2393.2122986143436","1664","903.58474375386584","335.74777965730408","1151.5026584230045","26284.059393833093"
"166","2011","Quebec","10814.987860540783","4120.8619991999594","5334.4150373767488","219.29593589800916","2445.4655026848181","2086.2602010227474","894.77805705151957","338.88233429286873","1213.6727687911666","27468.619696858619"
"167","2012","Quebec","10922.591847979047","4182.9761086070221","5638.9846698725523","244.84632481143188","2456.6972192356475","2111.6270063409324","924.79591041627373","341.44903810901786","1261.2089885460491","28085.177113917973"
"168","2013","Quebec","11088.69304804192","4293.1570776934359","6246.133162953246","259.96700399227598","2396.0372987019823","2509.5794383029729","928.69021249730986","342.7309391412474","1291.643380467624","29356.631561792015"
"169","2014","Quebec","11320.526523320172","4399.5894418871549","6603.9030990080537","279.14302387215656","2480.8471989846967","2117.4319999903878","938.17427649364129","340.73374824502736","1357.3151230067554","29837.664434808044"
"170","2015","Quebec","11665.898955919414","5395.1925995229567","7169.8133130589877","769.1175860554938","2447.3269434219033","1997.4048887858","803.06308395051065","264.98941591007855","2236.4010390619987","32749.207825687143"
"171","2016 f","Quebec","11825.446057528723","5838.6960163186613","7473.4242667687786","953.50105094027128","2553.11445","1674.1852871115","781.7061164484378","241.08929489339221","2630.2583936021429","33971.420933611902"
"172","2017 f","Quebec","12125.923118123123","6065.3182019561928","7838.3660299234052","988.05455667980129","2708.821010579039","2237.9101988622997","769.67246745340549","244.39596774032711","2778.209167550322","35756.670718867921"
"173","1975","Ontario","1746.1937499999999","336.57650000000001","679.99225000000001","39.002000000000002","37.585000000000001","111.77475","65.045749999999998","77.472750000000005","49.83175","3143.4744999999998"
"174","1976","Ontario","2043.96675","395.928","745.47024999999996","40.255249999999997","64.484218568540172","113.01875","79.996740679669102","69.889750000000006","59.461290751790713","3612.471"
"175","1977","Ontario","2164.7850010579027","441.62849999999997","832.90125","43.768999999999998","84.57615008924823","117.2775","99.619619360492706","67.494500000000002","77.096229492356187","3929.1477499999992"
"176","1978","Ontario","2266.1991218908779","474.53499807722284","947.66358635932556","54.135701292353062","103.64291463324494","112.8815","109.30802780578516","70.818250000000006","90.209149941190873","4229.3932500000001"
"177","1979","Ontario","2424.551984957192","530.2853187944977","1019.5891877809563","61.918535492618055","122.52575","80.654250000000005","136.34782301628334","89.6845","100.26889995845235","4565.8262500000001"
"178","1980","Ontario","2686.3139999999999","593.60054044427443","1182.0510596709416","71.232804057060036","149.755","99.490750000000006","158.08559530630393","100.9875","123.04725052141985","5164.5645000000004"
"179","1981","Ontario","3163.5477500000002","672.7941816923036","1383.2001966687012","80.519854864001445","187.21174999999999","138.25925000000001","179.62664045770052","108.35550000000001","156.43012631729314","6069.9452500000007"
"180","1982","Ontario","3705.8062510477303","775.68413209248661","1638.7764199016426","93.006350913907141","238.39500000000001","124.82325","213.15021065848677","123.81075","190.85038538574645","7104.3027500000007"
"181","1983","Ontario","4147.0642503492436","850.39196069749562","1915.3927233005475","108.30611697130237","291.10725000000002","129.42975000000001","233.00957021949557","125.6165","218.87437846191548","8019.192500000001"
"182","1984","Ontario","4497.1549999999997","888.54499999999996","2171.0622499999999","122.94025000000001","337.25975","196.88124999999999","245.749","124.12375","242.91125","8826.6274999999987"
"183","1985","Ontario","4862.6352683072255","935.16937408083311","2449.10275","137.47785000415885","399.3901493575371","264.95125000000002","266.6925208480942","126.68762698174086","304.65940439545841","9746.7661939750487"
"184","1986","Ontario","5353.9966156991113","1005.9938026404545","2841.27","151.89796441462806","481.20584447465507","300.15775000000002","310.01443966261979","140.15898435201078","410.44308008153621","10995.138481325015"
"185","1987","Ontario","5807.5474480226076","1143.8943824370301","3270.51125","166.8733331022861","574.42860016529471","256.97800000000001","356.55044670310122","149.9575433683234","476.62371743018554","12203.364721228829"
"186","1988","Ontario","6319.222362849725","1265.8302131159608","3588.14725","181.00289990301059","663.8320492276747","447.53487220370113","398.81925872728215","157.6186216880952","560.99675156452759","13583.00427927998"
"187","1989","Ontario","7129.9955814015948","1376.6601664304555","3838.8555000000001","198.35596582981327","749.54118594723445","489.14651881915262","460.38351462441824","174.02392392437042","662.31016184211262","15079.272518819153"
"188","1990","Ontario","7516.1822499999998","1468.6310200688936","4166.9724999999999","212.06171618790489","881.173","440.3092839541963","530.4082019671747","215.20206321746582","764.97599855856106","16195.916033954198"
"189","1991","Ontario","8308.5310000000009","1643.7482661475287","4704.4454999999998","226.57135181869234","1012.66625","389.60113784606472","574.88320603222564","212.46339830646752","878.34755580240414","17951.257665953381"
"190","1992","Ontario","8540.4002500000006","1844.5835533201412","4738.89725","233.94194121663762","1183.5877499999999","427.59999033676377","630.40649280847754","188.68555376263097","1022.2050515945522","18810.307833039202"
"191","1993","Ontario","8469.4399329057142","1731.8731115949145","4580.7038057500004","230.88947708624863","1248.0224015000001","439.08351451901251","678.5185997037371","176.07242604743362","1063.6441711619514","18618.247440269013"
"192","1994","Ontario","8285.2871044685708","1701.1259800785926","4646.7290181000008","224.71370100574913","1235.8102590000001","576.52441223047867","803.19886779286981","180.324100240711","1099.8003035635063","18753.513746480479"
"193","1995","Ontario","8159.5163242499993","1687.685784104925","4510.7427829950002","221.58455498064072","1379.5693352500002","520.00199466772006","862.71937480177212","171.83648419813881","1035.9811789195239","18549.637814167716"
"194","1996","Ontario","8310.6815824770201","1667.1467543348433","4548.0795911800005","240.57512960042246","1362.69926175","507.17606133424891","888.41454151527546","170.43365773601593","1001.3143321564221","18696.520912084248"
"195","1997","Ontario","7910.3425145457186","1718.5558814644419","4877.9297392674998","266.36995330746339","1407.6301022499999","610.19438524491466","989.06639364351724","192.52168309430303","1093.0214615020557","19065.632114319913"
"196","1998","Ontario","8325.18777826941","1857.4869600998852","5042.4494148874674","255.72993872875568","1549.9963795000001","565.46895424836589","1107.0758267752394","239.50480442434636","1178.944866839897","20121.844923773362"
"197","1999","Ontario","8829.6226526065548","2018.7591019468014","5215.279829659803","253.37146954505116","1700.03721675","799.14164030177665","1131.3694183594002","279.03284283668944","1366.2249045456988","21592.839076551776"
"198","2000","Ontario","9943.4885318748911","2148.9402263169377","5540.3387705935629","262.95021347519452","1943.3525809999999","1093.3734485276225","1234.9601402140327","282.16298710165313","1491.6556919237278","23941.222591027617"
"199","2001","Ontario","10254.250224611536","2319.1509690784301","5830.4363172444719","282.33883161610061","2212.5735069974671","1176.9272329033831","1438.919200431053","322.69604337744562","1420.2517442775163","25257.544070537402"
"200","2002","Ontario","11112.705159508841","2552.0826643157848","6050.661416267244","294.93786172184105","2536.20214590364","1240.1831345826238","1585.4331650904824","390.821156210011","1489.1883067934091","27252.215010393884"
"201","2003","Ontario","12193.617075679078","2902.79199709365","6519.7778066423534","308.93992072441853","2829.3732053395916","1560.4872231686543","2124.2459871076198","430.04944981647049","1511.1748482164862","30380.457513788318"
"202","2004","Ontario","13365.169703137986","3425.5704382453146","7024.9440412653112","303.34148327831821","3140.8754945497358","1622.5182526162087","1991.5663360200501","449.72766360735886","1349.5971268351632","32673.310539555445"
